?source_wdx	?sourceName	?traitCategory	?traitLabel	?tryDataVal	?unit	?unitComment
<http://www.wikidata.org/entity/Q10938310>	"Stipa grandis"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.11	<http://qudt.org/vocab/unit/MilliGM-PER-GM>	"mg/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q11041167>	"Geranium nepalense"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.0	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q11041167>	"Geranium nepalense"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.1078352	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q110601663>	"Neea hermaphrodita"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.9	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1107183>	"Nothofagus dombeyi"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.29	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1107183>	"Nothofagus dombeyi"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.73	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q11107867>	"Hovenia acerba"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	3.72	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q11110842>	"Castanopsis fargesii"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.07	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q11126423>	"Ilex pubescens"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	14.5	<http://qudt.org/vocab/unit/MilliGM-PER-GM>	"mg/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q111346>	"Convolvulus arvensis"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	5.47	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
