InputTerm,BestMatch,URI,Comment
#0+,,,
#0,,,
#I,,,
#II,,,
#III,,,
adullt,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
àdult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adutl,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adut,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
aecial gall,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecial stage,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecial,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecia,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidia only,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidia,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidiospore,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidium form,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidium i,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidium,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecidium!,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aecium,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aged,old,http://purl.obolibrary.org/obo/PATO_0000308,
algae,algal material,http://purl.obolibrary.org/obo/ENVO_01001189,
alive,alive,http://purl.obolibrary.org/obo/PATO_0001421,
all known life stage,life cycle stage,http://purl.obolibrary.org/obo/UBERON_0000105,
all known parasitic stage,parasite,http://purl.obolibrary.org/obo/ECOCORE_00000146,
all life stage,life cycle stage,http://purl.obolibrary.org/obo/UBERON_0000105,
all parasitic life stage,parasite,http://purl.obolibrary.org/obo/ECOCORE_00000146,
all parasitic stage,parasite,http://purl.obolibrary.org/obo/ECOCORE_00000146,
all stage,fully formed stage,http://purl.obolibrary.org/obo/UBERON_0000066,
all,whole,http://purl.obolibrary.org/obo/PATO_0001446,
androecia,androecium,http://purl.obolibrary.org/obo/PO_0009061,
apothecial,apothecium,http://purl.obolibrary.org/obo/FAO_0001034,
apothecia,apothecium,http://purl.obolibrary.org/obo/FAO_0001034,
apothecium,apothecium,http://purl.obolibrary.org/obo/FAO_0001034,
ascocarp,ascocarp,http://purl.obolibrary.org/obo/FAO_0000008,
aspergillus conidium,conidium,http://purl.obolibrary.org/obo/FAO_0000024,
a uredospore,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
uredial,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
uredinia,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
(Uredo.),uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
Uredo.,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
uredo,uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
(Uredo),uredospore,http://purl.obolibrary.org/obo/FAO_0000026,
